Day,no,location
Day0,73333,1
Day0,5280,1
Day0,14000,1
Day0,20000,1
Day0,44800,2
Day0,18756,1
Day0,32857,1
Day0,1132,2
Day0,9064,3
Day0,8771,1
Day0,3486,1
Day0,20327,3
Day0,1920,1
Day0,30506,1
Day0,1520,1
Day0,2666,1
Day0,10120,1
Day0,2240,1
Day0,64000,1
Day0,1400,1
Day0,123606,1
Day0,82360,1
Day0,72000,1
Day0,6400,1
Day0,83640,1
Day0,2000,1
Day0,14000,1
Day0,35200,3
Day0,96000,1
Day0,7075,1
Day0,8940,1
Day0,9800,1
Day0,15428,1
Day0,82857,1
Day0,144286,1
Day0,34818,3
Day0,6000,1
Day0,14960,1
Day0,88571,1
Day0,272301,1
Day0,38571,1
Day0,13545,1
Day0,84286,1
Day0,3505,1
Day0,15748,1
Day0,6800,1
Day0,2320,2
Day0,697020,1
Day0,1000,2
Day0,53000,1
Day0,2857,1
Day0,35600,1
Day0,11880,3
Day0,1200,1
Day0,4640,1
Day0,8847,1
Day0,12280,1
Day0,22160,1
Day0,1209,1
Day0,2550,1
Day0,1665,1
Day0,103331,1
Day0,95714,1
Day0,44000,1
Day0,2420,1
Day0,93333,1
Day0,22857,1
Day0,220000,1
Day0,174286,1
Day0,107143,1
Day0,1360,2
Day0,1440,3
Day0,50000,1
Day0,25080,1
Day0,57143,1
Day0,11429,1
Day0,13784,1
Day0,11432,2
Day0,22392,2
Day0,9280,2
Day0,5320,2
Day0,1113,1
Day0,10000,2
Day0,11428,2
Day0,4760,2
Day0,4600,2
Day0,8880,2
Day0,3960,1
Day0,20516,2
Day0,27143,1
Day0,6240,3
Day0,17360,1
Day0,9240,1
Day0,8915,2
Day0,2960,2
Day0,85714,1
Day0,6766,2
Day0,12800,2
Day0,1536,1
Day0,22857,1
Day0,796028,3
Day0,12840,2
Day0,12280,2
Day0,13400,1
Day0,13420,2
Day0,22600,1
Day0,8480,1
Day0,10080,2
Day0,4080,2
Day0,13640,2
Day0,1150,2
Day0,52857,1
Day0,6880,2
Day0,8040,2
Day0,1120,1
Day0,11600,2
Day0,2857,3
Day0,7180,2
Day0,1682,2
Day0,10920,2
Day0,3553,1
Day0,22341,1
Day0,2000,3
Day0,11440,3
Day0,14400,1
Day0,1760,3
Day0,107077,2
Day0,10000,1
Day0,92800,1
Day0,4400,1
Day0,2360,2
Day0,6500,2
Day0,18434,2
Day0,42909,2
Day0,15600,2
Day0,13240,1
Day0,7120,2
Day0,58571,2
Day0,1393,3
Day0,7015,1
Day0,93460,1
Day0,8120,2
Day0,6738,1
Day0,8960,2
Day0,12838,3
Day0,3250,2
Day0,1820,2
Day0,1620,2
Day0,12857,1
Day0,12857,1
Day0,33805,1
Day0,7143,1
Day0,127142,2
Day0,1020,2
Day0,181429,2
Day0,1194,2
Day0,4800,2
Day0,112416,1
Day0,3294,3
Day0,5200,2
Day0,9400,2
Day0,2500,2
Day0,18000,2
Day0,6000,1
Day0,5600,1
Day0,3360,2
Day0,100000,2
Day0,1200,2
Day0,6960,1
Day0,1080,2
Day0,1040,2
Day0,18760,1
Day0,11200,1
Day0,12000,2
Day0,10200,2
Day0,76896,1
Day0,64309,1
Day0,1020,2
Day0,16800,1
Day0,42010,2
Day0,258571,3
Day0,18560,1
Day0,12400,1
Day0,32190,1
Day0,4640,2
Day0,1704,2
Day0,71429,2
Day0,2040,2
Day0,5000,2
Day0,8000,2
Day0,4600,2
Day0,62000,1
Day0,31680,2
Day0,115714,2
Day0,36960,2
Day0,20000,2
Day0,2080,2
Day0,7040,2
Day0,3760,2
Day0,50000,2
Day0,2960,2
Day0,527143,2
Day0,1960,1
Day0,7690,1
Day0,2720,2
Day0,59259,1
Day0,2440,2
Day0,84286,1
Day0,1320,2
Day0,6480,2
Day0,1400,1
Day0,9640,2
Day0,107143,1
Day0,2600,2
Day0,8020,2
Day0,34286,1
Day0,58571,2
Day0,4500,2
Day0,2360,1
Day0,52857,2
Day0,3843,1
Day0,1734,1
Day0,23328,1
Day0,191429,1
Day0,3507,2
Day0,9170,2
Day0,32074,2
Day0,16955,2
Day0,93750,1
Day0,32000,2
Day0,2280,2
Day0,4080,2
Day0,44286,1
Day0,2630,2
Day0,23107,2
Day0,1560,2
Day0,2880,2
Day0,42511,2
Day0,27556,1
Day0,1640,2
Day0,2360,2
Day0,52856,2
Day0,10500,2
Day0,5545,2
Day0,4059,2
Day0,30000,2
Day0,31196,1
Day0,6400,1
Day0,20831,2
Day0,5040,2
Day0,1400,2
Day0,32400,1
Day0,82857,2
Day0,31429,2
Day0,42857,1
Day0,1120,1
Day0,3215,2
Day0,17143,3
Day0,2500,3
Day0,1560,2
Day0,155714,2
Day0,3783,1
Day0,2240,2
Day0,4560,2
Day0,2800,2
Day0,1000,2
Day0,5821,1
Day0,49397,1
Day0,28000,1
Day0,38020,1
Day0,8720,1
Day0,1120,1
Day0,1190,1
Day0,29385,1
Day0,81429,1
Day0,2167,1
Day0,5000,2
Day0,1200,2
Day0,10528,1
Day0,1137,1
Day0,8417,1
Day0,1277,1
Day0,86250,1
Day0,11285,2
Day0,5200,2
Day0,2040,2
Day0,2144,1
Day0,21846,1
Day0,10200,2
Day0,9860,1
Day0,16800,1
Day0,10200,1
Day0,41429,1
Day0,85714,1
Day0,48732,1
Day0,32565,1
Day0,197142,1
Day0,2500,2
Day0,115000,1
Day0,24160,1
Day0,1040,2
Day0,4200,2
Day0,37143,1
Day0,1800,2
Day0,2800,2
Day0,28571,1
Day0,4693,3
Day0,3200,2
Day0,15040,1
Day0,30760,1
Day0,3200,2
Day0,15714,1
Day0,1301,1
Day0,2400,2
Day0,37143,1
Day0,252857,1
Day0,3401,1
Day0,12807,1
Day0,9639,1
Day0,3480,1
Day0,1686,1
Day0,8594,1
Day0,11542,1
Day0,20000,2
Day0,1500,2
Day0,25714,1
Day0,3866,1
Day0,8640,1
Day0,1240,1
Day0,6799,1
Day0,37001,2
Day0,67143,3
Day0,112857,1
Day0,1149,2
Day0,80419,2
Day0,13047,1
Day0,18040,3
Day0,27143,1
Day0,41429,1
Day0,3200,2
Day0,43096,1
Day0,4480,1
Day0,37945,1
Day0,66074,1
Day0,9219,1
Day0,47143,1
Day0,57143,1
Day0,1050,2
Day0,7200,1
Day0,15000,1
Day0,1560,1
Day0,1165,1
Day0,87500,1
Day0,1020,2
Day0,1040,2
Day0,1400,2
Day0,4200,2
Day0,2200,2
Day0,18750,2
Day0,194286,1
Day0,155714,1
Day0,32857,1
Day0,48571,1
Day0,6050,3
Day0,100000,1
Day0,20833,1
Day0,31944,1
Day0,10750,1
Day0,1640,1
Day0,202857,1
Day0,1703,1
Day0,10344,1
Day0,1473,1
Day0,140000,1
Day0,146286,1
Day0,34274,3
Day0,42857,1
Day0,8873,3
Day0,16318,1
Day0,9411,1
Day0,31250,3
Day0,1840,1
Day0,24286,1
Day0,2269,1
Day0,117500,1
Day0,38750,1
Day0,26250,1
Day0,41250,1
Day0,10800,1
Day0,1215,1
Day0,9360,3
Day0,18200,3
Day0,71250,1
Day0,12827,1
Day0,13901,1
Day0,1520,3
Day0,60000,3
Day0,36250,3
Day0,1120,3
Day0,1960,3
Day0,43172,1
Day0,5871,1
Day0,15000,3
Day0,6313,1
Day0,3320,3
Day0,1120,3
Day0,2160,3
Day0,4000,3
Day0,8000,3
Day0,85000,3
Day0,1476,3
Day0,35714,1
Day0,4136,3
Day0,34571,3
Day0,2120,3
Day0,3171,3
Day0,2143,3
Day0,64208,3
Day0,7733,1
Day0,12800,1
Day0,54285,3
Day0,41429,3
Day0,27130,3
Day0,15037,3
Day0,1160,3
Day0,58571,3
Day0,47143,3
Day0,2120,3
Day0,111429,1
Day0,1680,3
Day0,877143,1
Day0,27500,3
